Stor-Temp/Stor-Temp/Storage.lt.45.00F	Vol below 45
STANISLAUS/BLW MCHENRY BR/FLOW	Stanislaus River below McHenry Bridge Flow
STANISLAUS/RIPON/FLOW	Stanislaus River at Ripon Gage Flow
SAN JOAQUIN/VERNALIS/FLOW	San Joaquin River at Vernalis Flow
STANISLAUS/BLW NEW MELONES/TEMP_F	Stanislaus River below New Melones Temperature
STANISLAUS/BLW TULLOCH/TEMP_F	Stanislaus River below Tulloch Lake Temperature
STANISLAUS/BLW GOODWIN/TEMP_F	Stanislaus River below Goodwin Dam Temperature
STANISLAUS/BLW KF/TEMP_F	Stanislaus River below Knights Ferry Temperature
STANISLAUS/BLW ORBL BR/TEMP_F	Stanislaus River below Orange Blossom Bridge Temperature
STANISLAUS/OAKDALE H120/TEMP_F	Stanislaus River at Oakdale Highway 120 Temperature
STANISLAUS/BLW RIVERBANK BR/TEMP_F	Stanislaus River below Riverbank Bridge Temperature
STANISLAUS/BLW MCHENRY BR/TEMP_F	Stanislaus River below McHenry Bridge Temperature
STANISLAUS/RIPON/TEMP_F	Stanislaus River at Ripon Gage Temperature
SAN JOAQUIN/VERNALIS/TEMP_F	San Joaquin River at Vernalis Temperature
CALSIM/WYT_SAC_/WATERYEARTYPE	Sac Index Water Year Type
CALSIM/WYT_SJR_/WATERYEARTYPE	SJR Index Water Year Type
CALSIM/WYT_TRIN_/WATERYEARTYPE	Trinity Index Water Year Type
